,date,total_visits,multiplier
0,2020-01-01,50080.66666666667,0.4618956530614629
1,2020-01-08,106760.20000000001,0.9846528726981615
2,2020-01-15,108241.8,0.9983177187380676
3,2020-01-22,102361.40000000001,0.9440825941072196
4,2020-01-29,108424.20000000001,1.0
5,2020-02-05,105644.59999999999,0.9743636568220008
6,2020-02-12,105773.0,0.9755478942892821
7,2020-02-19,75028.59999999999,0.691991271321347
8,2020-02-26,105613.80000000002,0.9740795873983853
9,2020-03-04,96934.40000000001,0.8940291927447931
10,2020-03-11,82610.6,0.7619203093036425
11,2020-03-18,25755.0,0.23753922094882873
12,2020-03-25,23986.000000000004,0.22122367515739108
13,2020-04-01,20857.2,0.19236664877398219
14,2020-04-08,19657.199999999997,0.18129900889284858
15,2020-04-15,20285.199999999997,0.18709107376397516
16,2020-04-22,21546.6,0.1987250078856934
17,2020-04-29,22361.0,0.20623624615168937
18,2020-05-06,22567.800000000003,0.20814356942453807
19,2020-05-13,23096.2,0.2130170201855305
20,2020-05-20,25150.8,0.23196666426867799
21,2020-05-27,25588.4,0.23600266361199804
22,2020-06-03,28180.2,0.25990692114859965
23,2020-06-10,28705.0,0.2647471689899487
24,2020-06-17,29040.399999999998,0.26784057433672553
25,2020-06-24,30545.6,0.2817230839609607
26,2020-07-01,30200.800000000003,0.2785429821017817
27,2020-07-08,28931.4,0.26683526371418925
28,2020-07-15,30540.600000000006,0.2816769687947894
29,2020-07-22,31155.0,0.2873436004139297
30,2020-07-29,31319.000000000004,0.2888561778643513
31,2020-08-05,33800.8,0.31174590174518235
32,2020-08-12,34329.2,0.31661935250617473
33,2020-08-19,34007.8,0.3136550696246779
34,2020-08-26,32091.399999999998,0.29598004873450756
35,2020-09-02,34131.200000000004,0.3147931919257878
36,2020-09-09,31542.000000000004,0.2909129142755953
37,2020-09-16,32753.399999999998,0.30208569673559954
38,2020-09-23,33701.4,0.3108291322416951
39,2020-09-30,30567.4,0.281924146085468
40,2020-10-07,32971.8,0.3041000071939659
41,2020-10-14,33581.8,0.3097260574668755
42,2020-10-21,33016.8,0.30451504368950844
43,2020-10-28,33540.200000000004,0.3093423792843295
44,2020-11-04,35630.0,0.32861667413732354
45,2020-11-11,31970.000000000004,0.29486037249986624
46,2020-11-18,30093.4,0.2775524283324202
47,2020-11-25,28422.0,0.26213705058464803
48,2020-12-02,29907.599999999995,0.27583878875749135
49,2020-12-09,27518.0,0.2537994285408608
50,2020-12-16,28470.8,0.2625871346064808
51,2020-12-23,27887.8,0.25721010623089674
52,2020-12-30,27546.800000000003,0.254065051898008
53,2021-01-06,27860.599999999995,0.25695923972692436
